tipo,n_elementos,execucao,tempo_s,comparacoes,memoria_kb
2,1000,1,0.000036692,0,2208
2,1000,2,0.000025462,0,2208
2,1000,3,0.000029426,0,2208
2,1000,4,0.000025873,0,2208
2,1000,5,0.000028868,0,2208
2,1000,6,0.000027225,0,2208
2,1000,7,0.000025761,0,2208
2,1000,8,0.000026671,0,2208
2,1000,9,0.000027387,0,2208
2,1000,10,0.000024424,0,2208
2,1000,11,0.000027192,0,2208
2,1000,12,0.000027108,0,2208
2,1000,13,0.000033881,0,2208
2,1000,MEDIA,0.000028152,0.00,2208.00
2,10000,1,0.000401602,0,2208
2,10000,2,0.000272801,0,2208
2,10000,3,0.000258120,0,2208
2,10000,4,0.000252788,0,2240
2,10000,5,0.000271764,0,2368
2,10000,6,0.000252671,0,2368
2,10000,7,0.000261020,0,2496
2,10000,8,0.000245086,0,2496
2,10000,9,0.000298612,0,2624
2,10000,10,0.000245408,0,2752
2,10000,11,0.000241960,0,2752
2,10000,12,0.000245358,0,2880
2,10000,13,0.000245366,0,3008
2,10000,MEDIA,0.000268658,0.00,2508.31
2,100000,1,0.004408138,0,6592
2,100000,2,0.002637490,0,7360
2,100000,3,0.002672153,0,8128
2,100000,4,0.003927380,0,8896
2,100000,5,0.003851921,0,9664
2,100000,6,0.001309205,0,10432
2,100000,7,0.001251296,0,11200
2,100000,8,0.001356227,0,11968
2,100000,9,0.001192105,0,12736
2,100000,10,0.001296465,0,13632
2,100000,11,0.001414310,0,14400
2,100000,12,0.001325608,0,15168
2,100000,13,0.001259806,0,15936
2,100000,MEDIA,0.002146316,0.00,11239.38
2,1000000,1,0.028784572,0,51904
2,1000000,2,0.013113309,0,59712
2,1000000,3,0.013244199,0,67520
2,1000000,4,0.014740693,0,75328
2,1000000,5,0.016429594,0,83136
2,1000000,6,0.013648143,0,90944
2,1000000,7,0.014326896,0,98752
2,1000000,8,0.013503444,0,106560
2,1000000,9,0.015064307,0,114368
2,1000000,10,0.013141609,0,122176
2,1000000,11,0.013200149,0,129984
2,1000000,12,0.014986031,0,137792
2,1000000,13,0.013136282,0,145600
2,1000000,MEDIA,0.015178402,0.00,98752.00
2,10000000,1,0.239557376,0,505024
2,10000000,2,0.137433459,0,583104
2,10000000,3,0.119002593,0,661184
2,10000000,4,0.136206816,0,739392
2,10000000,5,0.126482166,0,817472
2,10000000,6,0.130062362,0,895552
2,10000000,7,0.119732220,0,973760
2,10000000,8,0.121700073,0,1051840
2,10000000,9,0.122843909,0,1130048
2,10000000,10,0.118422310,0,1208128
2,10000000,11,0.122564660,0,1286208
2,10000000,12,0.122285941,0,1364416
2,10000000,13,0.126603720,0,1442496
2,10000000,MEDIA,0.134069047,0.00,973740.31
